"Name","RTmiliseconds","RTseconds","CPUmiliseconds","CPUseconds","Loops","Threads"
"3locks","10375","10","4421","4","1000000","3"
"3locks","9896","9","4109","4","1000000","3"
"3locks","9817","9","3921","3","1000000","3"
"3locks","10860","10","4750","4","1000000","3"
"3locks","9820","9","4312","4","1000000","3"
"3locks","42199","42","4921","4","1000000","12"
"3locks","42214","42","4484","4","1000000","12"
"3locks","41938","41","4828","4","1000000","12"
"3locks","40396","40","4562","4","1000000","12"
"3locks","42087","42","4812","4","1000000","12"
"3locks","85009","85","5015","5","1000000","24"
"3locks","86222","86","4843","4","1000000","24"
"3locks","91771","91","5734","5","1000000","24"
"3locks","92912","92","5750","5","1000000","24"
"3locks","88179","88","4968","4","1000000","24"
"3locks","1213","1","546","0","100000","3"
"3locks","1249","1","484","0","100000","3"
"3locks","1205","1","531","0","100000","3"
"3locks","3947","3","328","0","100000","12"
"3locks","4035","4","484","0","100000","12"
"3locks","4006","4","531","0","100000","12"
"3locks","7968","7","640","0","100000","24"
"3locks","8049","8","390","0","100000","24"
"3locks","7687","7","421","0","100000","24"
"3locks","168","0","109","0","10000","3"
"3locks","161","0","93","0","10000","3"
"3locks","167","0","78","0","10000","3"
"3locks","579","0","93","0","10000","12"
"3locks","592","0","109","0","10000","12"
"3locks","585","0","93","0","10000","12"
"3locks","953","0","46","0","10000","24"
"3locks","987","0","78","0","10000","24"
"3locks","937","0","31","0","10000","24"
