"Name","RTmiliseconds","RTseconds","CPUmiliseconds","CPUseconds","Loops","Threads"
"4conditions","18100","18","4984","4","1000000","3"
"4conditions","16840","16","4406","4","1000000","3"
"4conditions","17005","17","4625","4","1000000","3"
"4conditions","19871","19","4781","4","1000000","3"
"4conditions","16758","16","4453","4","1000000","3"
"4conditions","127920","127","6921","6","1000000","12"
"4conditions","123328","123","6062","6","1000000","12"
"4conditions","108601","108","5234","5","1000000","12"
"4conditions","97684","97","4953","4","1000000","12"
"4conditions","130539","130","8000","8","1000000","12"
"4conditions","176906","176","4625","4","1000000","24"
"4conditions","201801","201","5312","5","1000000","24"
"4conditions","183587","183","4828","4","1000000","24"
"4conditions","235565","235","6140","6","1000000","24"
"4conditions","196747","196","5171","5","1000000","24"
"4conditions","1734","1","593","0","100000","3"
"4conditions","1525","1","406","0","100000","3"
"4conditions","1735","1","625","0","100000","3"
"4conditions","8802","8","640","0","100000","12"
"4conditions","9520","9","562","0","100000","12"
"4conditions","10041","10","750","0","100000","12"
"4conditions","23734","23","796","0","100000","24"
"4conditions","23742","23","578","0","100000","24"
"4conditions","22420","22","562","0","100000","24"
"4conditions","210","0","171","0","10000","3"
"4conditions","217","0","46","0","10000","3"
"4conditions","221","0","156","0","10000","3"
"4conditions","1030","1","109","0","10000","12"
"4conditions","1031","1","156","0","10000","12"
"4conditions","1040","1","62","0","10000","12"
"4conditions","1772","1","78","0","10000","24"
"4conditions","1810","1","109","0","10000","24"
"4conditions","1877","1","125","0","10000","24"
