"Time","Additional threads","normal","additional scheduler","Threads"
"1","242156639","37508","40195764","3"
"1","244377393","42280","40565420","3"
"1","250813846","40655","40647944","3"
"5","244937606","19070","39955903","3"
"5","248239038","13682","40385039","3"
"5","248706183","20004","40148258","3"
"25","245299833","3182","40773187","3"
"25","246987347","2995","40851840","3"
"25","245550684","3115","40769794","3"
"50","245269070","1569","41171434","3"
"50","244817513","1618","40673237","3"
"50","246087966","1662","40672182","3"
"100","245139519","839","40512664","3"
"100","243548018","771","40778558","3"
"100","245335780","1188","40393115","3"
"1","431435355","61304","11677744","9"
"1","429336988","63672","12134913","9"
"1","430070521","64741","12485256","9"
"5","416103049","47198","27283586","9"
"5","415211116","47271","27240292","9"
"5","423492181","35120","18278198","9"
"25","427774635","10726","16282966","9"
"25","417310107","12289","26658234","9"
"25","414250824","12470","27968471","9"
"50","416259847","6585","27309664","9"
"50","416947673","6626","27599948","9"
"50","380090147","6362","26440286","9"
"100","423109364","3459","21634831","9"
"100","426054537","3237","17721196","9"
"100","427039905","3181","15949672","9"
"1","459421797","22517","4085464","27"
"1","447541933","22366","4107459","27"
"1","453629918","24951","4566876","27"
"5","470264293","25509","13005520","27"
"5","482551977","13771","5370239","27"
"5","472079907","12323","4856025","27"
"25","484138819","8035","6217522","27"
"25","479699998","9744","10328635","27"
"25","477718672","8341","6869683","27"
"50","471271521","5928","5959883","27"
"50","473377581","5992","7534704","27"
"50","460273284","7898","31046620","27"
"100","456848404","6502","30919529","27"
"100","452543534","6136","24599715","27"
"100","490947803","5514","5271495","27"
