"Czas na zadanie Schedulera","Czas na zadanie K/P","Ilość dodatkowej pracy","Ilość norlmalnej pracy","Dodatkowa praca schedulera","Ilość wątków"
"1","1","408364368","15907","22230128","9"
"1","5","411775820","16978","23774700","9"
"1","25","416986085","12776","17869525","9"
"1","75","429859021","4939","6960389","9"
"5","1","412836690","3005","19916857","9"
"5","5","420113821","2991","20041056","9"
"5","25","417357084","3145","21121829","9"
"5","75","418545341","3444","23515989","9"
"25","1","411952411","795","27412450","9"
"25","5","416733649","745","23269553","9"
"25","25","418897879","756","24283820","9"
"25","75","415739797","766","25843256","9"
"75","1","420485384","258","22555052","9"
"75","5","416854379","263","26305195","9"
"75","25","415250356","265","27033039","9"
"75","75","419576643","262","24143824","9"
"5","1","231853845","3999","39203585","3"
"5","5","230109043","3999","38832865","3"
"5","25","233653850","3989","38975313","3"
"5","75","242073058","1578","15474195","3"
"5","1","408703995","3029","19452560","9"
"5","5","404010543","3095","20047620","9"
"5","25","403943691","3074","20467846","9"
"5","75","409055004","3487","23542181","9"
"5","1","472881901","1297","8815200","27"
"5","5","477467130","1180","7990056","27"
"5","25","460988529","2655","18358976","27"
"5","75","468732606","1900","12986415","27"
"5","1","1175274193","6780","47244841","81"
"5","5","1188009506","7607","54133680","81"
