"Czas na zadanie Schedulera","Czas na zadanie K/P","Ilość dodatkowej pracy","Ilość norlmalnej pracy","Dodatkowa praca schedulera","Ilość wątków"
"1","1","76135234","19999","40938506","9"
"1","1","75759141","19999","40958603","9"
"1","5","185826117","19995","39430804","9"
"1","25","344390751","12390","17501324","9"
"1","75","344429277","4425","6175763","9"
"5","1","12827300","3999","42745376","9"
"5","5","39334983","3999","42471201","9"
"5","25","161255950","3996","40524444","9"
"5","75","335255605","3890","27822384","9"
"25","1","2685116","798","43848963","9"
"25","5","8006809","798","43715219","9"
"25","25","33839676","798","42469889","9"
"25","75","97488945","795","41943067","9"
"75","1","880026","264","43601003","9"
"75","5","2664211","264","44021973","9"
"75","25","11549082","264","43932124","9"
"75","75","33579793","264","43548789","9"

"5","1","14994130","4000","42854594","3"
"5","5","40388573","3999","43067673","3"
"5","25","150633191","3598","37696734","3"
"5","75","173098569","1413","14916059","3"
"5","1","12677715","4001","42669291","27"
"5","5","39808233","3999","42615134","27"
"5","25","165187794","3993","41407972","27"
"5","75","344890373","3952","28290239","27"
"5","1","12679218","4002","42696319","81"
"5","5","39756369","4000","42651298","81"
