"Time","Additional threads","normal","additional scheduler","Threads"
"1","81076774","19995","40777748","3"
"1","81194927","19998","40752085","3"
"1","65221659","19997","41027191","3"
"5","40209219","4004","42779000","3"
"5","40217354","4004","42798629","3"
"1","80966627","19996","40916892","3"
"1","81113644","19997","40667832","3"
"1","65444800","19989","40950861","3"
"5","40368109","4004","42841814","3"
"5","40350197","4003","42921526","3"
"5","40179006","4004","42761858","3"
"25","35071339","804","43999720","3"
"25","35139857","805","44145754","3"
"25","34972741","803","43872136","3"
"50","34624408","404","44467628","3"
"50","34594807","404","44388588","3"
"50","34509510","404","44296551","3"
"100","34539169","204","44926927","3"
"100","34375753","203","44666941","3"
"100","34289078","204","44500634","3"
"1","65558999","20009","40923011","9"
"1","65504570","20011","40832715","9"
"1","65475523","20007","40958995","9"
"5","39986101","4015","42735528","9"
"5","39967166","4015","42784203","9"
"5","39838838","4013","42668419","9"
"25","35639873","816","44744053","9"
"25","35638574","816","44755803","9"
"25","35435752","814","44463136","9"
"50","35641190","416","45771055","9"
"50","35626398","416","45746936","9"
"50","35472873","416","45513456","9"
"100","36512126","216","47439243","9"
"100","36561994","216","47532450","9"
"100","36437731","216","47295765","9"
"1","65641404","20044","40852724","27"
"1","65685034","20046","40844656","27"
"1","65598694","20046","40980382","27"
"5","40266557","4047","42992890","27"
"5","40310345","4051","43018605","27"
"5","40231236","4051","42984983","27"
"25","37106415","851","46480291","27"
"25","37184336","852","46606577","27"
"25","36973276","849","46317899","27"
"50","37624346","439","48373568","27"
"50","37584900","439","48293206","27"
"50","37430333","439","48124497","27"
"100","36873084","219","48030974","27"
"100","36996732","219","48227043","27"
"100","36899948","219","48137154","27"

